ticker,company_name,year
3RDROCK,3rd Rock Multimedia Limited,2024
AGRITECH,Agri-Tech (India) Limited,2025
AGSTRA,AGS Transact Technologies Limited,2024
AJRINFRA,AJR INFRA AND TOLLING LIMITED,2019
ALCHEM,Alchemist Limited,2020
ANKITMETAL,Ankit Metal & Power Limited,2020
ANSALAPI,Ansal Properties & Infrastructure Limited,2020
ANSALHSG,Ansal Housing Limited,2020
ARCOTECH,Arcotech Limited,2019
ARIHANT,Arihant Foundations & Housing Limited,2019
ARSHIYA,Arshiya Limited,2019
ARTEDZ,Artedz Fabs Limited,2019
AUTOLITIND,Autolite (India) Limited,2019
BABAFOOD,Baba Agro Food Limited,2019
BARTRONICS,Bartronics India Limited,2021
BGLOBAL,Bharatiya Global Infomedia Limited,2019
BGRENERGY,BGR Energy Systems Limited,2020
BHALCHANDR,Bhalchandram Clothing Limited,2024
BILENERGY,Bil Energy Systems Limited,2019
BILVYAPAR,BIL VYAPAR LIMITED,2023
BIRLATYRE,Birla Tyres Limited,2019
BLUECHIP,Blue Chip India Limited,2021
BRFL,Bombay Rayon Fashions Limited,2020
BRIGHT,Bright Solar Limited,2022
BSELINFRA,BSEL Infrastructure Realty Limited,2020
BSHSL,Bombay Super Hybrid Seeds Limited,2024
CANDC,C & C Constructions Limited,2019
CASTEXTECH,Castex Technologies Limited,2019
CCHHL,Country Club Hospitality & Holidays Limited,2020
CENTEXT,Century Extrusions Limited,2021
CHROMATIC,Chromatic India Limited,2019
CKFSL,Cox & Kings Financial Service Limited,2019
CKPLEISURE,CKP Leisure Limited,2019
CKPPRODUCT,CKP Products Limited,2019
CLOUD,Varanium Cloud Limited,2023
CMICABLES,CMI Limited,2020
CNOVAPETRO,CIL Nova Petrochemicals Limited,2020
COMPINFO,Compuage Infocom Limited,2020
COX&KINGS,Cox & Kings Limited,2019
CREATIVEYE,Creative Eye Limited,2025
CURATECH,Cura Technologies Limited,2020
DHARAN,DHARAN INFRA-EPC LIMITED,2019
DHARSUGAR,Dharani Sugars & Chemicals Limited,2019
DHFL,Dewan Housing Finance Corporation Limited,2020
DIL,Debock Industries Limited,2020
DQE,DQ Entertainment (International) Limited,2019
EASUNREYRL,Easun Reyrolle Limited,2019
EDUCOMP,Educomp Solutions Limited,2019
EMBDL,Embassy Developments Limited,2022
EMCO,Emco Limited,2019
EROSMEDIA,Eros International Media Limited,2023
EUROCERA,Euro Ceramics Limited,2019
EUROMULTI,Euro Multivision Limited,2020
FCONSUMER,Future Consumer Limited,2023
FCONSUMER ,Future Consumer Limited,2025
FEL,Future Enterprises Limited,2019
FELDVR,Future Enterprises Limited,2022
FLFL,Future Lifestyle Fashions Limited,2021
FRETAIL,Future Retail Limited,2019
FSC,Future Supply Chain Solutions Limited,2021
GANGOTRI,Gangotri Textiles Limited,2020
GARDENSILK,Garden Silk Mills Limited,2019
GATECH,GACM Technologies Limited,2025
GATECHDVR,GACM Technologies Limited,2025
GENSOL,Gensol Engineering Limited,2024
GIRRESORTS,GIR Natureview Resorts Limited,2020
GODHA,Godha Cabcon & Insulation Limited,2024
GOENKA,Goenka Diamond and Jewels Limited,2020
GOLDENTOBC,Golden Tobacco Limited,2020
GTNIND,GTN Industries Limited,2020
GTNTEX,GTN Textiles Limited,2020
GVKPIL,GVK Power & Infrastructure Limited,2019
HARDWYN,Hardwyn India Limited,2023
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,2020
HDIL,Housing Development and Infrastructure Limited,2019
HERCULES,HERCULES INVESTMENTS LIMITED,2019
HEUBACHIND,Heubach Colorants India Limited,2024
HINDMOTORS,Hindustan Motors Limited,2019
HINDNATGLS,Hindusthan National Glass & Industries Limited,2023
ICSA,ICSA (India) Limited,2024
IDFC,IDFC Limited,2023
IMPEXFERRO,Impex Ferro Tech Limited,2020
INDLMETER,IMP Powers Limited,2020
IPSL,Integrated Personnel Services Limited,2022
ITTL,Innovative Tyres & Tubes Limited,2024
JAIHINDPRO,Jaihind Projects Limited,2019
JBFIND,JBF Industries Limited,2019
JETAIRWAYS,Jet Airways (India) Limited,2019
JIKIND,JIK Industries Limited,2021
JINDCOT,Jindal Cotex Limited,2019
JMTAUTOLTD,JMT Auto Limited,2019
JPPOWER,Jaiprakash Power Ventures Limited,2024
JVLAGRO,JVL Agro Industries Limited,2019
KGL,Karuturi Global Limited,2019
KLL,Kaushalya Logistics Limited,2025
KSERASERA,KSS Limited,2019
KSK,KSK Energy Ventures Limited,2019
KTL,Kalahridhaan Trendz Limited,2023
KUNDANMM,Kundan Minerals and Metals Limited,2020
LAKPRE,Lakshmi Precision Screws Limited,2019
LGBFORGE,LGB Forge Limited,2021
MANINDS,Man Industries (India) Limited,2025
MARSHALL,Marshall Machines Limited,2020
MCDHOLDING,McDowell Holdings Limited,2019
MEP,MEP Infrastructure Developers Limited,2022
MERCATOR,Mercator Limited,2020
METALFORGE,Metalyst Forgings Limited,2019
METKORE,Metkore Alloys & Industries Limited,2019
MMNL,MIG Media Neurons Limited,2019
MOHOTAIND,Mohota Industries Limited,2019
MORARJEE,Morarjee Textiles Limited,2023
MTEDUCARE,MT Educare Limited,2019
MVL,MVL Limited,2024
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,2025
NATHBIOGEN,Nath Bio-Genes (India) Limited,2020
NATNLSTEEL,National Steel And Agro Industries Limited,2021
NDTV,New Delhi Television Limited,2022
NITINFIRE,Nitin Fire Protection Industries Limited,2019
NTL,Neueon Towers Limited,2023
OISL,OCL Iron and Steel Limited,2019
OMKARCHEM,Omkar Speciality Chemicals Limited,2022
OPAL,Opal Luxury Time Products Limited,2019
OPTOCIRCUI,Opto Circuits (India) Limited,2020
ORCHASP,Orchasp Limited,2025
ORTEL,Ortel Communications Limited,2020
PAEL,PAE Limited,2020
PARABDRUGS,Parabolic Drugs Limited,2019
PATSPINLTD,Patspin India Limited,2019
PDPL,Parenteral Drugs (India) Limited,2021
PENTAGOLD,Penta Gold Limited,2021
PERFECT,Perfect Infraengineers Limited,2019
PODDARHOUS,Poddar Housing and Development Limited,2020
POWERFUL,Powerful Technologies Limited,2019
