ticker,company_name
EMAMILTD,EMAMI LIMITED
HCLTECH,HCL TECHNOLOGIES LTD
SUZLON,Suzlon Energy Ltd
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED
HINDALCO,HINDALCO  INDUSTRIES  LTD
ORTINLAB,Ortin Laboratories
BEL,BHARAT ELECTRONICS LTD
DRREDDY,DR. REDDY S LABORATORIES
ITC,ITC LTD
ORCHIDPHAR,Orchid Pharma
DEVYANI,DEVYANI INTERNATIONAL LTD
CROMPTON,CROMPT GREA CON ELEC LTD
ADANIPORT,Adani Ports
CELESTIAL,Celestial Biolabs
IRCTC,INDIAN RAIL TOUR CORP LTD
MARUTI,MARUTI SUZUKI INDIA LTD.
RPOWER, Reliance Power 
BURNPUR,BURNPUR CEMENT LTD.
UNIPLY,Uniply Industries
CUMMINSIND,CUMMINS INDIA LTD
TIINDIA,TUBE INVEST OF INDIA LTD
ATLANTA,Atlanta Limited
ALLCARGO,ALLCARGO LOGISTICS LTD
GNFC,GUJ NAR VAL FER & CHEM L
BAJAJ-AUTO,BAJAJ AUTO LIMITED
OKARCHEM,Omkar Chem Ltd
EMCO,Emco Limited
DEEPAKNTR,DEEPAK NITRITE LTD
PRATIBHA,Pratibha Industries
RELINFRA,RELIANCE INFRASTRUCTU LTD
TVSMOTOR,TVS MOTOR COMPANY  LTD
TATASTEEL,TATA STEEL LIMITED
ARSSINFRA,ARSS Infrastructure Projects
RADICO,RADICO KHAITAN LTD
JETAIRWAYS, JET AIRWAYS (INDIA) LTD. 
GSPL,GUJARAT STATE PETRO LTD
ANSALAPI, Ansal Properties & Infrastructure 
MANDHANA,Mandhana Industries
DIXON,DIXON TECHNO (INDIA) LTD
TATACONSUM,TATA CONSUMER PRODUCT LTD
JYOTHYLAB,JYOTHY LABS LIMITED
ZOMATO,Zomato
ZICOM,Zicom Electronic Security
ESIL,Essar Steel
HCC,HINDUSTAN CONSTRUCTION CO
SUPREMEINF,SUPREME INFRA. LTD
PLETHICO,Plethico Pharmaceuticals
ZYLOG,Zylog Systems
UJAAS,Ujaas Energy
INDIACEM,THE INDIA CEMENTS LIMITED
CPSEETF,CPSE ETF
KFA,Kingfisher Airlines
JUBIQUANT,Jubilant FoodWorks
SURYAPHRM,Surya Pharmaceutical
ADANIPOWER,ADANI POWER LTD
NETWORK18,NETWORK18 MEDIA & INV LTD
CGPOWER,CG POWER AND IND SOL LTD
OMAXE,OMAXE LIMITED
RAMCOCEM,THE RAMCO CEMENTS LIMITED
AARTIIND,AARTI INDUSTRIES LTD
CERA,CERA SANITARYWARE LTD
SIEMENS,SIEMENS LTD
SAPPHIRE,SAPPHIRE FOODS INDIA LTD
MGL,MAHANAGAR GAS LTD.
POWERGRID,POWER GRID CORP. LTD.
IL&FSTRANS,IL&FS Trans
NTPC,NTPC LTD
VISASTEEL,VISA STEEL LIMITED
RVNL,RAIL VIKAS NIGAM LIMITED
MAZDOCK,MAZAGON DOCK SHIPBUIL LTD
MARG,Marg Limited
ASIANPAINT,ASIAN PAINTS LIMITED
SPYL,Siti Networks
BASF,BASF INDIA LTD
KEC,KEC INTL. LIMITED
BLUESTARCO,BLUE STAR LIMITED
GREENPLY,GREENPLY INDUSTRIES LTD
TALWALKARS,Talwalkars
LAURUSLABS,LAURUS LABS LIMITED
HFCL,HFCL LIMITED
CONCOR,CONTAINER CORP OF IND LTD
KSS,KSS Limited
BATAINDIA,BATA INDIA LTD
TIMKEN,TIMKEN INDIA LTD.
ITI,ITI LTD
GAMMONIND,Gammon India
NYKAA,FSN E COMMERCE VENTURES
JINDALSTEL,JINDAL STEEL LIMITED
JAGRAN,JAGRAN PRAKASHAN LIMITED
LALPATHLAB,DR. LAL PATH LABS LTD.
UJJIVAN,Ujjivan Financial
ADANIENERGY,Adani Energy Solutions
FLFL,FUT LIFESTYLE FASH LTD
NESTLEIND,NESTLE INDIA LIMITED
JETAIRWAYS,Jet Airways India
VAKRANGEE,Vakrangee Limited
RPOWER,RELIANCE POWER LTD.
ROUTE,ROUTE MOBILE LIMITED
MAHLIFE,MAHINDRA LIFESPACE DEVLTD
CANDC,"CANDC.NS,0P0000BSSR,0"
MONNETISPA,monnet ispat
BERGEPAINT,BERGER PAINTS (I) LTD
THYROCARE,THYROCARE TECH LTD
ASTRAL,ASTRAL LIMITED
LTIM,LTIMINDTREE LIMITED
ZENSARTECH,ZENSAR TECHNOLOGIES  LTD
SUBEX,Subex Limited
AMTEKAUTO, Amtek Auto 
IRCON,IRCON INTERNATIONAL LTD
EASEMYTRIP,EASY TRIP PLANNERS LTD
LATENTVIEW,LATENT VIEW ANALYTICS LTD
TITAN,TITAN COMPANY LIMITED
NAVINFLUOR,NAVIN FLUORINE INT. LTD
PURVA,PURAVANKARA LIMITED
AJANTPHARM,AJANTA PHARMA LIMITED
GVKPIL,GVK POW. & INFRA LTD.
KANSAINER,KANSAI NEROLAC PAINTS LTD
BOSCHLTD,BOSCH LIMITED
ENGINERSIN,ENGINEERS INDIA LTD
BPL,BPL LTD
IMAGICAA,IMAGICAAWORLD ENT LTD
RAYMOND,RAYMOND LTD
UNITECH, UNITECH LTD 
SEZAL,Sezal Glass
SECUREKLOUD,8K Miles Software Services Limited
HINDUNILVR,HINDUSTAN UNILEVER LTD.
COFFEEDAY,Coffee Day Enterprises Limited
INTELLECT,INTELLECT DESIGN ARENA
RELIANCE,RELIANCE INDUSTRIES LTD
SONACOMS,SONA BLW PRECISION FRGS L
ADANIGREEN,ADANI GREEN ENERGY LTD
NBCC,NBCC (INDIA) LIMITED
TRENT,TRENT LTD
MOTHERSON,SAMVRDHNA MTHRSN INTL LTD
EROSMEDIA,Eros International Media Limited
PAYTM,ONE 97 COMMUNICATIONS LTD
SEYAIND,Seya Industries Ltd
PAGEIND,PAGE INDUSTRIES LTD
RAILTEL,RAILTEL CORP OF IND LTD
STERLINBIO,Sterling Biotech
GTLINFRA, GTL Infrastructure Ltd 
GRANULES,GRANULES INDIA LIMITED
GAYAPROJ,GAYATRI PROJECTS LTD
BHARTIARTL,BHARTI AIRTEL LIMITED
CASTROLIND,CASTROL INDIA LIMITED
ARCOTECH,"ARCOTECH.NS,0P00012PYT,0"
TORNTPOWER,TORRENT POWER LTD
DBREALTY,VALOR ESTATE LIMITED
SRF,SRF LTD
PFIZER,PFIZER LTD
BALLARPUR,"BALLARPUR.NS,0P0000C2S8,0"
TCS,TATA CONSULTANCY SERV LT
SJET,SpiceJet
GTLINFRA,GTL INFRA.LTD
TREEHOUSE,Tree House Education & Accessories Limited
SUPREMEIND,SUPREME INDUSTRIES LTD
GTL,GTL LTD
TATACHEM,TATA CHEMICALS LTD
SITINET,SITI Networks Limited
DALBHARAT,DALMIA BHARAT LIMITED
VEDL,VEDANTA LIMITED
NAZARA,NAZARA TECHNOLOGIES LTD
GAIL,GAIL (INDIA) LTD
GVKPIL,GVK Power & Infrastructure Limited
KPITTECH,KPIT TECHNOLOGIES LIMITED
RITES,RITES LIMITED
VARDHMAN,Vardhman Textiles
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD
AIRCEL,Aircel
SCHAEFFLER,SCHAEFFLER INDIA LIMITED
ULTRACEMCO,ULTRATECH CEMENT LIMITED
TV18BRDCST,TV18 Broadcast
KWALITY,Kwality Limited
MTARTECH,MTAR TECHNOLOGIES LIMITED
IPCALAB,IPCA LABORATORIES LTD
NAKODA,Nakoda Limited
GLAXO,GLAXOSMITHKLINE PHARMA LT
VGUARD,V-GUARD IND LTD.
UBL,UNITED BREWERIES LTD
PIIND,PI INDUSTRIES LTD
MBLINFRA,MBL INFRASTRUCTURE LTD
