ticker,company_name,sector,industry,business_summary,target,market_cap,total_debt,intangible_assets,cash_and_equivalents,current_liabilities,operating_cash_flow,ebitda,interest_expense,net_income,total_assets,fiscal_year,currency,source_url,extraction_status,extraction_error
3MINDIA,3M INDIA LIMITED,Industrials,Conglomerates,"3M India Limited manufactures and trades in various products in India and internationally. It operates in four segments: Safety & Industrial; Transportation & Electronics; Health Care; and Consumer. The company offers vinyl, polyester, foil, and specialty industrial tapes and adhesives, such as masking tapes, and filament and packaging tapes; functional and decorative graphics; abrasion-resistant films; and other specialty materials. In addition, the company offers medical and surgical supplies; medical devices; skin and wound care, as well as infection prevention products and solutions; drug delivery systems; dental and orthodontic products; and food safety products. Further, it provides home and office tapes, and packaging protection platforms; note pads, dispensers, flagging solution, and labels; and stain protection products. The company sells its products under the Command, Littmann, Nexcare, Post-it, Scotch-Brite, and Scotch brands for the automotive, commercial solutions, consumer markets, design and construction, electronics, energy, health care, manufacturing, safety, and transportation industries. It also exports its products. The company was incorporated in 1987 and is based in Bengaluru, India. 3M India Limited operates as a subsidiary of 3M Company.",0,352089767936.0,995353000.0,3042000.0,9327792000.0,10429558000.0,3551044000.0,8394959000.0,108023000.0,4760674000.0,30145917000.0,2025,INR,https://finance.yahoo.com/quote/3MINDIA.NS/balance-sheet/,YFINANCE,
AARTIIND,AARTI INDUSTRIES LTD,Basic Materials,Specialty Chemicals,"Aarti Industries Limited engages in the manufacture and sale of specialty chemicals in India and internationally. It offers di chloro benzene, nitro chloro and nitro benzene, nitro toluenes, sulphur, and other organic and inorganic products; chlorination, nitration, hydrogenation, ammonolysis, halex, dinitro chlorination, alkylation, hydrolysis, methoxylation, esterification, diazotization, sulphonation, condensation, n-alkylation, and oxidation. It also provides end use products, including dyes, basic pharma, pigments, agro chemicals, polymers, fertilizers, UV absorbers, plasticizers, specialty chemicals, flavour fragrance and food beverage products, and refinery and oil field chemicals, as well as intermediates. Aarti Industries Limited was incorporated in 1984 and is headquartered in Mumbai, India.",0,154081886208.0,38477900000.0,2286500000.0,2946000000.0,34664000000.0,12419300000.0,9778000000.0,2363000000.0,3308700000.0,111135200000.0,2025,INR,https://finance.yahoo.com/quote/AARTIIND.NS/balance-sheet/,YFINANCE,
ABB,ABB INDIA LIMITED,Industrials,Specialty Industrial Machinery,"ABB India Limited develops and sells products and system solutions to utilities, industries, channel partners, and original equipment manufacturers in India and internationally. The company operates through Motion, Robotics and Discrete Automation, Electrification, and Process Automation segments. The Motion segment offers motors, generators, and drives that provide power, motion, and control for a range of automation applications; and offers solutions and related services. The Robotics and Discrete Automation segment provides value-added solutions in robotics, machine, and factory automation. The Electrification segment offers a range of digital and connected solutions for low- and medium-voltage applications, including EV infrastructure, solar inverters, modular substations, distribution automation, power protection, wiring accessories, switchgear, enclosures, cabling, sensing, and control. The Process Automation segment provides products, systems, and services, such as turnkey engineering, control systems, measurement products, life cycle services, outsourced maintenance, and industry specific products for the optimization of the productivity of industrial processes in oil and gas, power, chemicals and pharmaceuticals, pulp and paper, metals and minerals, marine, and turbocharging industries. The company was formerly known as ABB Limited and changed its name to ABB India Limited in June 2013. ABB India Limited was incorporated in 1949 and is headquartered in Bengaluru, India. ABB India Limited operates as a subsidiary of ABB Asea Brown Boveri Ltd",0,1447100284928.0,848200000.0,203200000.0,58277700000.0,57334500000.0,12195100000.0,23948600000.0,193900000.0,16682600000.0,136384800000.0,2025,INR,https://finance.yahoo.com/quote/ABB.NS/balance-sheet/,YFINANCE,
ABGSHIP,ABG Shipyard,Industrials,Shipbuilding,Operates as a shipbuilding and ship repair company in India.,1,0.0,72100000000.0,0.0,510000000.0,46180000000.0,-8800000000.0,-2660000000.0,8060000000.0,-9010000000.0,124410000000.0,2015,INR,https://screener.in/quote/ABGSHIP/,SUCCESS_MANUAL,
ACC,ACC LIMITED,Basic Materials,Building Materials,"ACC Limited engages in the manufacture and sale of cement and ready-mix concrete in India. It operates in Cement and Ready Mix Concrete segments. The company provides gold and silver range of cement; ready mixed concrete value-added products; and bulk cement. It also offers construction chemicals, such as ACC LeakBlock, an integral waterproofing compound used in concrete and plaster while constructing houses; ACC LeakBlock WaterProof Plaster - LB 101, a ready-to-use cementitious waterproof mortar for internal and external plaster applications; and tile adhesives under the ACC Xtra Strong brand used for wet-on-wet fixing of medium sized tiles for internal walls and floors, and external floor applications, as well as an adhesive paste for fixing tiles on floor and wall. In addition, the company provides ready-to-use and waterproof plasters, thin bed joining mortars, grey cement-based tile adhesives, and shrinkage compensated and flowable precision cementitious grout under ACC Suraksha brand; and EcoMaxx, a green concrete with lower embodied carbon footprint for various structural components, such as foundations, columns, beams, external or internal walls, driveways, walkways, etc. It distributes its products through a network of dealers, retailers, individual home builder, contractors, big housing contractors, infrastructure companies, and government department. The company was formerly known as The Associated Cement Companies Limited and changed its name to ACC Limited in September 2006. ACC Limited was incorporated in 1936 and is headquartered in Ahmedabad, India. ACC Limited operates as a subsidiary of Ambuja Cements Limited.",0,264873934848.0,4297700000.0,6102100000.0,30871500000.0,56681500000.0,17114800000.0,42363100000.0,1082200000.0,24021200000.0,254126100000.0,2025,INR,https://finance.yahoo.com/quote/ACC.NS/balance-sheet/,YFINANCE,
ADANIGREEN,ADANI GREEN ENERGY LTD,Utilities,Utilities - Renewable,"Adani Green Energy Limited generates and supplies renewable energy to central and state government entities and government backed corporations in India. The company develops, builds, owns, operates, and maintains power plants through renewable sources, such as solar, wind, and hybrid. It operates solar power plants with an operational capacity of 10,103 megawatts (MW); wind power plants with an operational capacity of 2,000 MW; and hybrid power plants with an operational capacity of 2,140 MW. Adani Green Energy Limited was incorporated in 2015 and is headquartered in Ahmedabad, India.",0,1787927330816.0,800400000000.0,920000000.0,45870000000.0,168880000000.0,83640000000.0,95500000000.0,48370000000.0,14440000000.0,1113980000000.0,2025,INR,https://finance.yahoo.com/quote/ADANIGREEN.NS/balance-sheet/,YFINANCE,
ADANIPOWER,ADANI POWER LTD,Utilities,Utilities - Independent Power Producers,"Adani Power Limited engages in the generation, transmission, and sale of electricity under long term power purchase agreements (PPAs), supplemental PPAs, medium and short term PPAs, and on merchant basis in India. The company generates electricity through thermal energy sources through various power projects with a combined installed and commissioned capacity of 17,550 megawatt (MW). It also operates various coal based power plants comprising 4,620 MW at Mundra, Gujarat; 3,300 MW at Tiroda, Maharashtra; 1,320 MW at Kawai, Rajasthan; 1,200 MW at Udupi, Karnataka; 600 MW at Raigarh and Korba, Chhattisgarh; 1,370 MW at Raipur, Chhattisgarh; 1,200 MW at Mahan, Madhya Pradesh; 1,200 MW at Mutiara, Tamil Nadu; 1,600 MW at Mirzapur, Uttar Pradesh; 500MW at Dahanu, Maharashtra; and 1600 MW at Godda, Jharkhand. The company also operates solar based power plant comprising 40 MW at Bitta, Gujarat. In addition, it engages in coal import and supply/trading business. Adani Power Limited was founded in 1988 and is headquartered in Ahmedabad, India.",0,3497523937280.0,393562900000.0,2217100000.0,14946500000.0,164409900000.0,215011100000.0,237410000000.0,30726100000.0,129387700000.0,1129175700000.0,2025,INR,https://finance.yahoo.com/quote/ADANIPOWER.NS/balance-sheet/,YFINANCE,
AFFLE,AFFLE 3I LIMITED,Communication Services,Advertising Agencies,"Affle 3i Limited, together with its subsidiaries, provides mobile advertisement services through information technology and software development services for mobiles in India and internationally. It operates Appnext, an app discovery platform that displays contextual and personal app recommendations; Mediasmart, an omnichannel programmatic advertising platform; Jampp, a programmatic platform to grow app business; RevX, a programmatic advertising for app marketers; and YouAppi, a programmatic mobile app retargeting solution. The company was formerly known as Affle (India) Limited and changed its name to Affle 3i Limited in April 2025. Affle 3i Limited was incorporated in 1994 and is based in Gurugram, India.",0,199696646144.0,820950000.0,13241960000.0,15263310000.0,6286370000.0,4259910000.0,5736720000.0,93370000.0,3818690000.0,36217700000.0,2025,INR,https://finance.yahoo.com/quote/AFFLE.NS/balance-sheet/,YFINANCE,
AIAENG,AIA ENGINEERING LIMITED,Industrials,Specialty Industrial Machinery,"AIA Engineering Limited designs, develops, produces, installs, and services high chromium, wear-resistant parts for grinding equipment used in the cement, mining, and quarry industries in India, the United Arab Emirates, and internationally. The company offers lining systems, DE assemblies, fasteners, and ceramic composite alloys; diaphragms, shell liners, grinding media, mill liners, FLS, pfeiffer, polysius, and loesche; blow bars, hammers, impellers, anvils, feed disks, and frame liners; and wear-resistant components, tube mill lining and air flow regulation systems, and mill parts. It also provides service, such as design and holistic process modelling; installation supervision; wear monitoring, including scanning; circuit diagnostics, air flow regulation system, and ball charge optimization; ball sorting; mill operation, audit, analysis, and tuning; and condition monitoring. It serves mining, cement, quarry, and thermal power generation industries. The company was founded in 1978 and is based in Ahmedabad, India.",0,357146394624.0,4905682000.0,231987000.0,42802363000.0,7878821000.0,11623070000.0,14925954000.0,210913000.0,10607360000.0,78340737000.0,2025,INR,https://finance.yahoo.com/quote/AIAENG.NS/balance-sheet/,YFINANCE,
AJANTPHARM,AJANTA PHARMA LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,"Ajanta Pharma Limited, together with its subsidiaries, a pharmaceutical formulation company that develops, manufactures, and markets specialty pharmaceutical finished dosages. The company offers chronic and acute therapies; branded generic products; and a range of dosage forms, including tablets, capsules, injectables, inhalers, ointments, creams, and liquids. It also serves various therapeutic areas comprising cardiology, dermatology, ophthalmology, and pain management. The company operates in India, Africa, Asia, the United States, and internationally. Ajanta Pharma Limited was founded in 1973 and is headquartered in Mumbai, India.",0,362152460288.0,474200000.0,465200000.0,6138300000.0,9961000000.0,11572300000.0,13540000000.0,207300000.0,9203900000.0,50149500000.0,2025,INR,https://finance.yahoo.com/quote/AJANTPHARM.NS/balance-sheet/,YFINANCE,
