ticker,company_name,sector,industry,business_summary,target,market_cap,total_debt,intangible_assets,cash_and_equivalents,current_liabilities,operating_cash_flow,ebitda,interest_expense,net_income,total_assets,fiscal_year,currency,source_url,extraction_status,extraction_error
CONCOR,CONTAINER CORP OF IND LTD,Industrials,Railroads,"Container Corporation of India Limited engages in handling, transportation, and warehousing activities in India. The company provides inland transport by rail for containers; manages ports and air cargo complexes; develops multimodal logistics support for containerization and trade; and operates logistics facilities, including dry ports, container freight stations, and private freight terminals. It also engages in the cold-chain business for fruits and vegetables; and handling of air cargos and containers. In addition, the company provides LCL hub, air cargo movement, bonded warehousing, factory stuffing/destuffing services; and road transportation services for door-to-door services. Container Corporation of India Limited was incorporated in 1988 and is based in New Delhi, India.",0,366757085184.0,8372100000.0,125500000.0,36934500000.0,11797300000.0,17115400000.0,23737100000.0,716700000.0,12887500000.0,144758700000.0,2025.0,INR,https://finance.yahoo.com/quote/CONCOR.NS/balance-sheet/,yfinance,
PLETHICO,Plethico Pharmaceuticals,Healthcare,Pharmaceuticals,Engaged in manufacturing herbal and nutraceutical products.,1,0.0,3491480000,0.0,260440000.0,9972520000,-368370000,278550000,499260000,-78920000,17041950000,2012,INR,Annual Report,SUCCESS_MANUAL,
SONACOMS,SONA BLW PRECISION FRGS L,Consumer Cyclical,Auto Parts,"Sona BLW Precision Forgings Limited, together with its subsidiaries, designs, manufactures, and supplies systems and components for the automotive industry in India, North America, Europe, and Asia. The company offers mobility products comprising electronically locking differentials, integrated motor controller modules, traction motors, spool gears, controllers, input/rotor shafts, starter motors, differential assembly and bevel gears, intermediate and portal axle gears, epicyclic geartrains, reduction drive units, in-cabin radar and short range radar sensors, steering bevel boxes, coupling/sleeves, inter-axle gear sets, hub wheel motors, integrated hub motors and controllers, and integrated drive motors and controllers. It also provides railway components comprising brake systems, couplers, suspension systems, friction and rubber products, HVAC systems, electric control panels, vacuum evacuation systems, and automatic plug doors. In addition, the company offers non-automotive components, such as AVG/AMR drive units, industrial robot and eVOLT reduction gearboxes, short range radar and zone monitoring sensors, humanoid components, and eVOLT and humanoid motors. It exports its products. The company's products are used in conventional and electric passenger vehicles, commercial vehicles, off-highway vehicles, buses, and electric two and three-wheelers, as well as for railways and non-automotive applications. The company was formerly known as Sona Okegawa Precision Forgings Ltd. and changed its name to Sona BLW Precision Forgings Limited in July 2013. Sona BLW Precision Forgings Limited was incorporated in 1995 and is headquartered in Gurugram, India.",0,354017443840.0,2022360000.0,10651550000.0,26284870000.0,5490250000.0,7751910000.0,10778240000.0,250940000.0,6012130000.0,65370790000.0,2025.0,INR,https://finance.yahoo.com/quote/SONACOMS.NS/balance-sheet/,yfinance,
FLFL,FUT LIFESTYLE FASH LTD,Consumer Cyclical,apparel manufacturing,"Future Lifestyle Fashions Limited operates as an integrated fashion company in India. The company retails fashion products through departmental and neighborhood stores. Its stores offer men's formals, casuals, youth wear, women's western wear, women's ethnic, sportswear, denim wear, infant wear, accessories, footwear, luggage, and other products; and cosmetics, fragrances, eyewear, watches, accessories, sportswear, toys, mobiles, electronics, home, and other products. The company offers its products under the Lee Cooper, Champion, aLL, Indigo Nation, RIG, Alice and Mae, Bare, Urban Yoga, Ancestry, Scullers, UMM, Clarks, Jealous 21, Lombard, Tresmode, Turtle, John Miller, Ceriz, Giovani, Converse, Urbana, Celio, Cover Story, Umbro, Mineral, Mother Earth, and Spunk brands. It operates its stores under the Central and Brand Factory brand names; and other exclusive brand outlets, as well as offers its products through e-commerce websites. Future Lifestyle Fashions Limited was formerly known as Future Value Fashion Retail Limited and changed its name to Future Lifestyle Fashions Limited. The company was incorporated in 2012 and is based in Mumbai, India.",1,273983360.0,"21,691,900,000",109200000.0,932600000.0,48533600000.0,6833800000.0,-15382800000.0,2886800000.0,-25489000000.0,44632600000.0,2022,INR,https://finance.yahoo.com/quote/FLFL.NS/balance-sheet/,yfinance,
FEDERALBNK,FEDERAL BANK LTD,Financial Services,Banks - Regional,"The Federal Bank Limited provides a range of banking and financial services in India. The company operates through four segments: Treasury, Corporate/Wholesale Banking, Retail Banking, and Other Banking Operations segments. Its deposit products include savings accounts, current accounts, demat accounts, salary accounts, fixed deposits, cash certificates, recurring deposits, exchange earners' foreign currency accounts, gilt accounts, resident foreign currency (RFC) domestic and other accounts, and NRI deposit schemes. The company's loan portfolio comprises personal, gold, housing, car, property, education and career, digital personal, instant digital, SME business, and other loans; loans against sovereign gold bonds and fixed deposit; term loans, project finance, and working capital loans; and debit and credit cards. In addition, it offers life, health, and general insurance products; cash management, wealth management, and merchant banking services; sovereign gold bonds, online trading, and national pension system; treasury products, such as FX retail, forward contracts, options, and swaps; and remittance, fund transfer, payment and collection, bill discounting, bank guarantees, letter of credit, post shipment limit, LC bill discounting, packing credit loan in foreign currency, and rediscounting of export bills abroad services; and deposit locker, e-commerce, internet banking, mobile banking, and tele banking services. The Federal Bank Limited operates a network of branches and ATMs/cash recyclers. The company was formerly known as Travancore Federal Bank Limited and changed its name to The Federal Bank Limited in March 1947. The Federal Bank Limited was incorporated in 1931 and is based in Aluva, India.",0,726126034944.0,303458319000.0,0.0,408405325000.0,0.0,88009187000.0,,176312737000.0,41588458000.0,3601519137000.0,2025,INR,https://finance.yahoo.com/quote/FEDERALBNK.NS/balance-sheet/,yfinance,
PRATIBHA,Pratibha Industries,Industrials,Engineering & Construction,EPC company focusing on water and urban infrastructure.,1,0.0,15474695000,21027000.0,2200428000.0,35930496000,-798132000,4110264000,2632938000,527846000,48797757000,2016,INR,Annual Report,SUCCESS_MANUAL,
SHARDACROP,SHARDA CROPCHEM LTD.,Basic Materials,Agricultural Inputs,"Sharda Cropchem Limited, a crop protection chemical company, provides various formulations and generic active ingredients worldwide. It offers agrochemical products, including insecticides, fungicides, herbicides, veterinary drugs, plant growth regulators, fumigants, regulators, rodenticides, metalaxyl, propiconazole, phenthoate, pendimethalin, and dithianon; and biocides. The company also provides conveyor belts, such as textile ply, rough top, steel cord, chevron/pattern, elevator, sidewall, pipe, and PVC/PVG solid woven conveyor belts, as well as cotton transmission belts, PVC and polyurethane light duty belting products, and V-belts. In addition, it offers industrial chemicals used in water treatment, food and food ingredients, and other industrial applications; and dyes and dye intermediates, as well as general chemicals. Further, the company supplies and distributes pharmaceuticals and intermediates products, including prothioconazole, azoxystrobin, P-nitrophenol - parathion-methyl, 2,4-dichloroacetophenone - propiconazole, cyclopropanecarboxylic acid - trinexapac-ethyl, and P-fluorobenzaledehyde - cyfluthrin. Sharda Cropchem Limited was founded in 1987 and is based in Mumbai, India.",0,103464869888.0,77597000.0,10316250000.0,4263617000.0,19857422000.0,6036221000.0,6551085000.0,21057000.0,3043783000.0,47248516000.0,2025,INR,https://finance.yahoo.com/quote/SHARDACROP.NS/balance-sheet/,yfinance,
CANFINHOME,CAN FIN HOMES LTD,Financial Services,Mortgage Finance,"Can Fin Homes Limited provides housing finance services primarily to first-time homebuyers and professionals in India. The company's products portfolio comprises housing loans, such as individual housing, commercial housing, composite housing, Composite Govt. Layout loan, Flat under Construction TPA Basis, IHL Cash Salary, and affordable housing loans; non-housing loans, including site, mortgage, builder, personal, CFHL top-up, I-secure loans, loans against rent receivables, loans for commercial properties, Flexi LAP, loan for pensioners, and rooftop solar loan scheme. It also offers fixed and cumulative deposits. The company was incorporated in 1987 and is headquartered in Bengaluru, India.",0,118933266432.0,348982859000.0,0.0,56145000.0,0.0,9333735000.0,,24848081000.0,8571654000.0,409673338000.0,2025,INR,https://finance.yahoo.com/quote/CANFINHOME.NS/balance-sheet/,yfinance,
M&MFIN,M&M FIN. SERVICES LTD,Financial Services,Credit Services,"Mahindra & Mahindra Financial Services Limited, a non-banking financial company, engages in financing business in India. The company operates through Financing Activities and Other Reconciling Items segments. It offers vehicle financing for auto, utility vehicles, passenger cars, tractors, commercial vehicles, and construction equipment; pre-owned vehicle financing; and vehicle leasing solutions through its digital platform Quiklyz to fleet operators, farmers, businesses, self-employed, and salaried individuals. The company also provides loan against property, equipment finance, working capital finance, and supply chain finance for micro, small and medium enterprises (MSME); asset management and trusteeship services; insurance broking and advisory services; and engages in the life, health, motor, and property insurance distribution. It serves retail and commercial customers, individuals, and entrepreneurs, as well as businesses operating in agriculture, transportation, and small and medium enterprises. Mahindra & Mahindra Financial Services Limited was incorporated in 1991 and is headquartered in Mumbai, India. Mahindra & Mahindra Financial Services Limited is a subsidiary of Mahindra & Mahindra Limited.",0,413091889152.0,1082232600000.0,2454600000.0,48899500000.0,0.0,-156018800000.0,,85226800000.0,22618700000.0,1441052600000.0,2025,INR,https://finance.yahoo.com/quote/M&MFIN.NS/balance-sheet/,yfinance,
MFL,MFL LTD,,,,0,,,,,,,,,,,,INR,https://finance.yahoo.com/quote/MFL.NS/balance-sheet/,metadata_only,yfinance:Empty balance sheet from yfinance
